filename,Pose,ki,Keypoint,coordinates,score
./images/multi_skiing.jpg,0,0,nose,[ 89.33994818 166.33257389],0.9985044002532959
./images/multi_skiing.jpg,0,1,leftEye,[ 77.4036603  180.12375927],0.9991422891616821
./images/multi_skiing.jpg,0,2,rightEye,[ 76.56365681 151.69395542],0.9978177547454834
./images/multi_skiing.jpg,0,3,leftEar,[ 77.79273558 195.08619857],0.7662131190299988
./images/multi_skiing.jpg,0,4,rightEar,[ 77.66257858 129.94568253],0.8930104374885559
./images/multi_skiing.jpg,0,5,leftShoulder,[137.33821917 213.80971909],0.9682044982910156
./images/multi_skiing.jpg,0,6,rightShoulder,[140.88508058  96.48674393],0.8876811265945435
./images/multi_skiing.jpg,0,7,leftElbow,[204.72671413 257.02200735],0.5483443737030029
./images/multi_skiing.jpg,0,8,rightElbow,[235.88350868  95.76149178],0.3254941403865814
./images/multi_skiing.jpg,0,9,leftWrist,[228.99632883 269.93458176],0.052492909133434296
./images/multi_skiing.jpg,0,10,rightWrist,[272.44336537 151.00208569],0.5188103914260864
./images/multi_skiing.jpg,0,11,leftHip,[292.68264103 180.11744022],0.05639812722802162
./images/multi_skiing.jpg,0,12,rightHip,[281.76359272 100.26072979],0.7067655920982361
./images/multi_skiing.jpg,0,13,leftKnee,[406.78912067 174.8630228 ],0.7526168823242188
./images/multi_skiing.jpg,0,14,rightKnee,[403.40113926 102.05079079],0.657127857208252
./images/multi_skiing.jpg,0,15,leftAnkle,[508.02435684 212.69408894],0.034766245633363724
./images/multi_skiing.jpg,0,16,rightAnkle,[502.05024147 130.42219353],0.6897556185722351
./images/multi_skiing.jpg,1,0,nose,[207.35426539 289.71001363],0.997739315032959
./images/multi_skiing.jpg,1,1,leftEye,[198.28728437 302.73354077],0.9984052777290344
./images/multi_skiing.jpg,1,2,rightEye,[197.59521294 277.32517242],0.989266037940979
./images/multi_skiing.jpg,1,3,leftEar,[197.30495167 318.85507786],0.8182054758071899
./images/multi_skiing.jpg,1,4,rightEar,[200.65335226 263.16879177],0.8744232654571533
